
input frame records: 59990
embedding missing files:  0
total matches:  190
         1782792 function calls (1754950 primitive calls) in 6.108 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    6.108    6.108 profile:0(<code object <module> at 0x7f65839b7710, file "search_frame.py", line 1>)
   1339/1    0.010    0.000    6.107    6.107 :0(exec)
        1    0.011    0.011    6.107    6.107 search_frame.py:1(<module>)
      167    0.010    0.000    5.074    0.030 __init__.py:1(<module>)
  1489/15    0.020    0.000    4.129    0.275 <frozen importlib._bootstrap>:1002(_find_and_load)
   1438/8    0.020    0.000    4.128    0.516 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
   1387/7    0.018    0.000    4.123    0.589 <frozen importlib._bootstrap>:659(_load_unlocked)
   1256/5    0.010    0.000    4.122    0.824 <frozen importlib._bootstrap_external>:844(exec_module)
   1901/9    0.005    0.000    4.121    0.458 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
       12    0.005    0.000    3.837    0.320 __init__.py:2(<module>)
   706/73    0.003    0.000    3.276    0.045 :0(__import__)
5292/4259    0.037    0.000    2.567    0.001 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.034    0.034    1.971    1.971 search_frame.py:36(main)
        5    0.001    0.000    1.401    0.280 numeric.py:1(<module>)
        1    0.000    0.000    1.385    1.385 alignment.py:2(<module>)
      190    0.002    0.000    0.860    0.005 base.py:71(full_compare)
     50/7    0.000    0.000    0.803    0.115 decorators.py:189(wrapper)
        6    0.000    0.000    0.779    0.130 dispatcher.py:915(compile)
        6    0.000    0.000    0.776    0.129 caching.py:627(load_overload)
      190    0.005    0.000    0.744    0.004 base.py:44(embedding_to_span)
    181/6    0.001    0.000    0.681    0.114 base.py:264(refresh)
        4    0.001    0.000    0.644    0.161 functional.py:1(<module>)
      190    0.116    0.001    0.537    0.003 iterate.py:29(search_paths)
        1    0.067    0.067    0.520    0.520 search_frame.py:50(<listcomp>)
        1    0.000    0.000    0.489    0.489 local_shortcut.py:1(<module>)
        1    0.482    0.482    0.482    0.482 :0(set_num_threads)
      181    0.005    0.000    0.474    0.003 cpu.py:68(load_additional_registries)
1387/1381    0.010    0.000    0.466    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
    60041    0.233    0.000    0.454    0.000 posixpath.py:71(join)
     1256    0.033    0.000    0.443    0.000 <frozen importlib._bootstrap_external>:916(get_code)
4006/3963    0.070    0.000    0.414    0.000 :0(__build_class__)
     1418    0.034    0.000    0.370    0.000 <frozen importlib._bootstrap>:901(_find_spec)
     4362    0.015    0.000    0.340    0.000 re.py:289(_compile)
     3524    0.006    0.000    0.337    0.000 re.py:250(compile)
       10    0.001    0.000    0.335    0.033 api.py:1(<module>)
  125/123    0.001    0.000    0.324    0.003 <frozen importlib._bootstrap_external>:1171(create_module)
  125/123    0.315    0.003    0.323    0.003 :0(create_dynamic)
      141    0.002    0.000    0.308    0.002 sre_compile.py:783(compile)
    181/6    0.001    0.000    0.293    0.049 context.py:153(refresh)
     1413    0.006    0.000    0.284    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
     1413    0.021    0.000    0.278    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
        1    0.000    0.000    0.261    0.261 _decorators.py:170(wrapper)
      2/1    0.000    0.000    0.261    0.261 _decorators.py:323(wrapper)
        1    0.000    0.000    0.261    0.261 readers.py:854(read_csv)
        1    0.001    0.001    0.261    0.261 readers.py:571(_read)
        1    0.000    0.000    0.255    0.255 readers.py:1762(read)
        8    0.000    0.000    0.254    0.032 linear.py:1(<module>)
      192    0.006    0.000    0.253    0.001 frame.py:607(__init__)
        1    0.001    0.001    0.248    0.248 c_parser_wrapper.py:218(read)
        1    0.238    0.238    0.244    0.244 :0(read_low_memory)
     1853    0.052    0.000    0.229    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
       36    0.001    0.000    0.215    0.006 _sources.py:95(parse_def)
        3    0.000    0.000    0.211    0.070 decorators.py:1(<module>)
    181/6    0.001    0.000    0.209    0.035 context.py:415(_load_builtins)
  1810/60    0.014    0.000    0.208    0.003 context.py:428(install_registry)
     1256    0.011    0.000    0.207    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
       36    0.000    0.000    0.203    0.006 _sources.py:9(get_source_lines_and_file)
       36    0.001    0.000    0.200    0.006 inspect.py:997(getsourcelines)
        1    0.000    0.000    0.198    0.198 stencil.py:6(<module>)
     1271    0.190    0.000    0.194    0.000 :0(loads)
      175    0.001    0.000    0.194    0.001 templates.py:1051(__init__)
185872/185505    0.163    0.000    0.193    0.000 :0(isinstance)
      252    0.002    0.000    0.192    0.001 frame.py:1364(iterrows)
      171    0.001    0.000    0.189    0.001 templates.py:1097(_init_once)
      175    0.002    0.000    0.186    0.001 templates.py:907(_get_target_registry)
       36    0.012    0.000    0.181    0.005 inspect.py:986(getblock)
      190    0.063    0.000    0.177    0.001 alignment.py:204(gather_all_paths)
        1    0.000    0.000    0.166    0.166 storage.py:1(<module>)
        4    0.000    0.000    0.166    0.042 context.py:1(<module>)
        5    0.001    0.000    0.166    0.033 __init__.py:3(<module>)
